#,DOB ,Birth City ,S/P ,Ctry ,Nat,HT ,Wt ,C ,Rk ,Draft ,Rnd ,Ovrl ,Age,First Name,Last Name,End Tm,All Tm,GP ,GS ,W,L ,OT ,SA ,Sv ,GAA,SV%,G ,A ,PIM ,MIN,SO ,StGA,StSV,StMIN,QS,RBS,PULL,StSV%,StGAA,QS%,GR,ReGA,ReSV,ReMIN,ReGAA,ReSV%,Cap Hit,Days,Actual,GVT-GP,GGVT,DGVT,SGVT,GVT,GVS,GPS,ESA,ESV,ESSV%,SHSA,SHSV,SHSV%,PPSA,PPSV,PPSV%,SOW,SOL,SSA,SGA,SOSV%,Dist,LowS,LowG,MedS,MedG,HighS,HighG,AdjSV%,QoC,Gsupp,ExpSV%,1st,2nd,3rd,Ginj,Injury,CHIP
1,1979-04-04,Montreal,QC,CAN,CAN,75,217,L,,1997,1,4,36,Roberto,Luongo,FLA,FLA,62,60,35,19,6,1801,1660,2.35,.922,0,2,4,216111,4,138,1618,3503,34,8,3,.921,2.36,56.7%,2,3,42,99,1.82,.933,4.533,186,4.533,60,18.7,-0.4,-0.6,17.6,9.1,12.1,1449,1357,.937,43,40,.930,309,263,.851,5,2,22,8,.636,32.4,852,29,414,41,394,71,0.917,.0842,3.07,.006,6,8,6,,,
25,1990-01-31,Gävle,,SWE,SWE,78,196,L,,2008,2,31,26,Jacob,Markstrom,VAN,VAN,33,30,13,14,4,988,904,2.73,.915,0,2,4,110846,0,84,898,1816,17,4,0,.914,2.78,56.7%,3,0,6,31,0.00,1.000,1.55,186,1.55,30.8,3.9,-0.8,0.6,3.7,1.6,5.9,804,739,.919,21,17,.810,163,148,.908,2,1,12,3,.750,30.6,374,13,285,31,245,40,0.918,.0843,2.07,-.001,5,3,2,15,Hamstring,284
35,1988-05-29,Oakville,ON,CAN,CAN,76,210,R,,2006,3,69,27,Steve,Mason,PHI,PHI,54,53,23,19,10,1602,1470,2.51,.918,0,0,2,189026,4,130,1454,3108,29,5,3,.918,2.51,54.7%,1,2,16,42,2.86,.889,4.1,186,4.1,52.5,10.7,-0.7,-1.5,8.4,0.8,10.0,1362,1269,.932,41,36,.878,199,165,.829,2,6,24,10,.583,36.6,676,21,401,25,393,86,0.919,.0857,2.57,.003,4,8,4,1,Lower body,50
30,1983-05-23,London,ON,CAN,CAN,75,205,L,,2002,6,176,32,Curtis,McElhinney,CBJ,CBJ,18,12,2,7,3,417,371,3.30,.890,0,1,0,50126,0,41,328,719,3,3,0,.889,3.42,25.0%,6,5,43,116,2.59,.896,0.8,186,0.8,13.9,-6.8,-0.1,-0.7,-7.6,-8.1,1.2,330,293,.888,8,7,.875,79,71,.899,0,1,3,2,.333,29.1,180,5,93,12,98,29,0.891,.0873,2.50,-.023,1,0,1,29,"Knee, Ankle",283
30,1980-07-17,East Lansing,MI,USA,USA,74,168,L,,1999,5,138,35,Ryan,Miller,VAN,VAN,51,51,17,24,9,1634,1497,2.70,.916,0,1,2,182609,1,137,1497,3043,25,2,2,.916,2.70,49.0%,0,0,0,0,0.00,.000,6,186,6,50.7,8.0,-1.3,0.5,7.2,-4.4,9.9,1346,1245,.925,45,41,.911,243,211,.868,3,4,24,7,.708,33.0,649,19,452,40,396,78,0.918,.0863,2.45,.002,5,5,4,6,Lower body,439
35,1985-02-13,Chicago,IL,USA,USA,74,203,L,,2004,1,6,30,Al,Montoya,FLA,FLA,25,22,12,7,3,608,559,2.18,.919,0,0,2,81074,0,44,512,1229,13,3,2,.921,2.15,59.1%,3,5,47,122,2.46,.904,1.05,186,1.05,22.5,5.4,0.5,-0.3,5.6,4.5,3.9,503,463,.920,13,12,.923,92,84,.913,2,1,11,4,.636,35.7,295,6,131,14,133,29,0.913,.0867,2.50,.006,4,3,1,2,Head,26
34,1992-02-14,Ostrava,,CZE,CZE,74,183,L,,2010,5,141,23,Petr,Mrazek,DET,DET,54,49,27,16,6,1448,1333,2.33,.921,0,2,2,177635,4,111,1287,2818,32,5,4,.921,2.36,65.3%,5,4,46,143,1.68,.920,0.738,186,0.738,49.4,13.9,0.0,-0.1,13.8,13.4,9.5,1184,1100,.929,33,31,.939,231,202,.874,2,3,15,5,.667,31.0,628,21,368,29,337,65,0.919,.0845,2.53,.005,6,5,7,3,"Illness, Groin",27
30,1994-05-25,Thunder Bay,ON,CAN,CAN,76,178,L,Y,2012,3,83,21,Matt,Murray,PIT,PIT,13,13,9,2,1,355,330,2.00,.930,0,0,0,44915,1,25,330,748,9,0,1,.930,2.01,69.2%,0,0,0,0,0.00,.000,0.894,62,0.298,12.5,6.0,0.1,-0.5,5.7,5.5,2.7,285,266,.933,11,10,.909,59,54,.915,1,1,4,2,.500,33.0,153,5,94,5,83,15,0.928,.0837,3.77,.013,1,1,1,,,
30,1988-03-23,Ústí nad Labem,,CZE,CZE,73,209,L,,2006,2,34,27,Michal,Neuvirth,PHI,PHI,32,29,18,8,4,908,839,2.27,.924,0,1,2,109529,3,65,795,1713,17,3,1,.924,2.28,58.6%,3,4,44,112,2.14,.917,1.625,186,1.625,30.4,11.0,-0.2,-0.5,10.3,8.0,6.4,719,669,.930,22,20,.909,167,150,.898,1,2,10,4,.600,35.7,407,11,224,16,208,42,0.922,.0853,2.69,.009,5,2,3,18,"Knee, Illness, Lower body, Upper body",357
31,1983-08-29,Vantaa,,FIN,FIN,74,210,L,,,,,32,Antti,Niemi,DAL,DAL,48,43,25,13,7,1246,1128,2.67,.905,0,2,2,159263,3,111,1056,2483,20,8,4,.905,2.68,46.5%,5,7,72,171,2.46,.911,4.5,186,4.5,44.2,-4.6,0.6,-2.1,-6.1,-14.5,5.9,1043,961,.921,32,21,.656,171,146,.854,1,2,15,8,.467,35.1,537,20,277,27,314,71,0.907,.0841,2.98,-.011,6,4,4,,,
39,1990-03-19,Lulea,,SWE,SWE,77,229,L,Y,2009,3,62,25,Anders,Nilsson,STL,"EDM, STL",29,24,10,13,2,789,711,3.12,.901,0,1,4,90035,0,71,642,1360,12,5,3,.900,3.13,50.0%,5,7,69,141,2.98,.908,3,186,0.964,25,-5.9,-0.5,1.1,-5.3,-6.2,3.4,652,595,.913,22,18,.818,115,98,.852,2,0,5,0,1.000,31.7,323,16,191,16,197,46,0.904,.0865,2.67,-.012,3,2,3,,,
29,1992-02-14,Sault Ste. Marie,ON,CAN,CAN,78,205,L,Y,,,,23,Matthew,O'Connor,OTT,OTT,1,1,0,1,0,34,31,3.10,.912,0,0,0,3482,0,3,31,58,0,0,0,.912,3.10,0.0%,0,0,0,0,0.00,.000,1.775,14,0.134,1,0.0,-0.1,0.0,0.0,-0.2,0.2,30,27,.900,1,1,1.000,3,3,1.000,,,,,,36.8,14,1,8,1,9,1,0.911,.0826,1.00,-.006,0,0,0,,,
37,1991-04-16,Turku,,FIN,FIN,73,190,L,,2009,6,171,24,Joni,Ortio,CGY,CGY,22,19,7,9,5,564,509,2.76,.902,0,0,2,71805,1,53,490,1144,10,3,0,.902,2.78,52.6%,3,2,19,53,2.26,.905,0.6,108,0.348,19.9,-3.6,0.3,-0.9,-4.3,-4.4,2.5,478,436,.912,12,10,.833,74,63,.851,0,2,5,3,.400,31.6,227,6,142,14,140,35,0.906,.0850,2.84,-.012,0,3,2,,,
31,1987-08-31,Kladno,,CZE,CZE,75,215,L,,2005,2,41,28,Ondrej,Pavelec,WPG,WPG,33,31,13,13,4,918,830,2.78,.904,0,0,0,113941,1,83,791,1817,16,6,2,.905,2.74,51.6%,2,5,39,82,3.66,.886,3.9,186,3.9,31.7,-3.6,0.1,-0.3,-3.8,-10.9,4.3,722,661,.916,25,23,.920,171,146,.854,2,1,11,3,.727,33.2,370,12,228,18,232,58,0.909,.0845,2.81,-.011,1,3,6,33,Knee,1570
31,1992-04-15,Moncton,NB,CAN,CAN,73,200,L,Y,2010,2,49,23,Calvin,Pickard,COL,COL,20,13,7,6,1,539,497,2.56,.922,0,1,0,59126,1,33,393,760,9,1,1,.923,2.61,69.2%,7,9,104,225,2.40,.920,0.851,118,0.54,16.4,5.4,-0.5,0.4,5.4,5.0,3.6,441,407,.923,12,11,.917,86,79,.919,1,0,2,0,1.000,31.9,212,3,144,13,141,26,0.926,.0871,2.77,.009,3,0,2,,,
31,1987-08-16,Anahim Lake,BC,CAN,CAN,75,216,L,,2005,1,5,28,Carey,Price,MTL,MTL,12,12,10,2,0,365,341,2.06,.934,0,0,0,41900,2,24,341,699,9,1,1,.934,2.06,75.0%,0,0,0,0,0.00,.000,6.5,186,6.5,11.6,7.5,-0.2,0.0,7.2,-5.5,3.0,298,279,.936,11,11,1.000,56,51,.911,,,,,,36.9,162,5,99,6,80,13,0.931,.0824,3.58,.017,3,2,2,67,"Leg, Lower body",5311
32,1986-01-21,Milford,CT,USA,USA,73,218,L,,2005,3,72,30,Jonathan,Quick,LAK,LAK,68,68,40,23,5,1820,1671,2.22,.918,0,3,10,242069,5,149,1671,4039,40,9,3,.918,2.21,58.8%,0,0,0,0,0.00,.000,5.8,186,5.8,67.2,15.1,1.3,0.3,16.7,5.5,11.5,1458,1353,.928,26,24,.923,336,294,.875,2,3,19,6,.684,38.2,750,34,479,40,442,75,0.918,.0850,2.79,.003,8,8,8,,,
32,1989-05-12,Rauma,,FIN,FIN,72,193,L,,,,,26,Antti,Raanta,NYR,NYR,25,18,11,6,2,530,487,2.24,.919,0,0,0,69021,1,41,456,1032,12,4,1,.918,2.38,66.7%,7,2,31,118,1.02,.939,0.75,186,0.75,19.1,4.1,0.3,0.0,4.4,4.0,3.4,449,413,.920,16,16,1.000,65,58,.892,,,,,,31.8,222,4,115,11,150,28,0.923,.0841,3.11,.003,5,1,2,3,Head,27
31,1986-07-01,Asikkala,,FIN,FIN,74,206,L,,2004,6,191,29,Karri,Ramo,CGY,CGY,37,37,17,18,1,1034,940,2.63,.909,0,1,0,128678,1,94,940,2145,21,4,2,.909,2.63,56.8%,0,0,0,0,0.00,.000,7.6,186,3.764,35.8,-1.0,0.3,-0.2,-1.0,-7.8,5.4,890,816,.917,23,20,.870,121,104,.860,1,0,2,1,.500,30.5,445,12,253,19,242,63,0.910,.0858,2.68,-.005,3,5,1,,,
40,1987-03-10,Savonlinna,,FIN,FIN,75,176,L,,2005,1,21,28,Tuukka,Rask,BOS,BOS,64,62,31,22,8,1854,1697,2.56,.915,0,1,0,220683,4,152,1654,3598,35,10,4,.916,2.53,56.5%,2,5,43,80,3.75,.896,7,186,7,61.3,9.3,-0.5,1.7,10.4,-3.3,11.1,1562,1443,.924,39,37,.949,253,217,.858,2,2,14,2,.857,35.3,782,23,487,36,429,98,0.915,.0848,2.92,.000,8,8,6,1,Illness,85
34,1988-03-15,Morweena,MB,CAN,CAN,74,217,L,,2006,4,99,27,James,Reimer,SJS,"TOR, SJS",40,37,17,14,7,1128,1040,2.31,.922,0,0,0,137427,3,85,1009,2193,24,6,1,.922,2.33,64.9%,3,3,31,97,1.86,.912,4.6,186,2.3,38.2,12.0,-0.1,2.0,13.9,10.2,7.6,950,891,.938,28,24,.857,150,125,.833,4,4,31,7,.774,32.8,487,18,309,26,244,44,0.919,.0847,2.54,.007,4,3,5,,,
35,1982-11-03,Kempele,,FIN,FIN,77,217,L,,2004,8,258,33,Pekka,Rinne,NSH,NSH,66,66,34,21,10,1744,1583,2.48,.908,0,2,6,233722,4,161,1583,3895,36,11,2,.908,2.48,54.5%,0,0,0,0,0.00,.000,7,186,7,64.9,-2.7,1.7,1.9,0.9,-12.8,8.8,1443,1322,.916,37,36,.973,264,225,.852,3,1,15,2,.867,37.7,812,29,450,36,322,96,0.899,.0849,2.88,-.007,10,6,3,,,
1,1995-04-19,Forssa,,FIN,FIN,71,180,L,Y,2013,4,99,20,Juuse,Saros,NSH,NSH,1,1,0,1,0,23,20,3.10,.870,0,0,0,3481,0,3,20,58,0,0,0,.870,3.10,0.0%,0,0,0,0,0.00,.000,0.925,2,0.01,1,-0.8,0.1,0.0,-0.7,-0.7,0.0,16,15,.938,1,1,1.000,6,4,.667,,,,,,44.0,8,0,9,1,3,2,0.857,.0773,1.00,-.053,0,0,0,,,
35,1986-03-18,Marblehead,MA,USA,USA,75,205,L,,2004,1,26,29,Cory,Schneider,NJD,NJD,58,58,27,25,6,1597,1475,2.15,.924,0,0,0,204746,4,122,1475,3414,40,7,3,.924,2.14,69.0%,0,0,0,0,0.00,.000,6,186,6,56.9,19.4,0.7,-1.8,18.3,6.7,11.1,1295,1208,.933,44,39,.886,258,228,.884,2,5,26,11,.577,30.3,683,24,388,37,404,61,0.923,.0860,2.17,.010,3,6,4,11,Knee,805
40,1986-09-11,Spruce Grove,AB,CAN,CAN,74,181,L,,,,,29,Ben,Scrivens,MTL,MTL,15,14,5,8,0,447,405,3.07,.906,0,0,0,49318,0,42,401,801,4,2,1,.905,3.15,28.6%,1,0,4,21,0.00,1.000,5.95,290,1.829,13.7,-1.6,-0.4,1.1,-0.9,-3.0,2.2,366,339,.926,14,8,.571,67,58,.866,1,0,5,0,1.000,31.4,215,4,108,7,82,31,0.897,.0849,2.64,-.009,2,1,0,,,
41,1982-03-22,Kingston,ON,CAN,CAN,76,215,L,,2001,5,161,33,Mike,Smith,ARI,ARI,32,32,15,13,2,921,844,2.63,.916,0,1,2,105210,3,77,844,1754,16,7,4,.916,2.63,50.0%,0,0,0,0,0.00,.000,5.667,186,5.667,29.2,6.1,-0.7,0.0,5.4,-5.5,5.6,732,683,.933,29,22,.759,160,139,.869,,,,,,30.3,407,12,245,17,192,48,0.912,.0847,2.38,.001,8,2,1,,,
31,1993-06-28,Elmhurst,IL,USA,USA,74,207,L,Y,2011,7,190,22,Garret,Sparks,TOR,TOR,17,17,6,9,1,456,407,3.02,.893,0,0,0,58497,1,49,407,976,7,4,1,.893,3.01,41.2%,0,0,0,0,0.00,.000,0.77,86,0.356,16.3,-6.3,0.2,1.0,-5.1,-5.3,1.5,380,343,.903,7,6,.857,69,58,.841,2,1,11,2,.818,36.4,201,6,116,17,90,26,0.887,.0840,2.29,-.023,3,0,0,10,Lower body,94
,1987-07-28,St. Paul,MN,USA,USA,72,190,L,,2005,4,112,28,Alex,Stalock,SJS,SJS,13,9,3,5,2,285,252,2.94,.884,0,1,0,40448,0,31,206,545,2,5,0,.869,3.41,22.2%,4,2,46,129,0.93,.958,4.8,186,1.39,11.2,-6.1,0.5,-0.7,-6.3,-8.1,0.6,224,200,.893,16,14,.875,45,38,.844,0,2,6,3,.500,34.9,117,7,77,9,58,17,0.881,.0898,3.67,-.026,0,0,0,,,
33,1987-07-05,Caledonia,ON,CAN,CAN,75,193,L,,,,,28,Cam,Talbot,EDM,EDM,56,53,21,27,5,1648,1511,2.55,.917,0,1,0,193369,3,130,1481,3127,26,4,2,.919,2.49,49.1%,3,7,30,96,4.38,.811,1.45,186,1.45,53.7,9.6,-0.6,-0.8,8.2,6.3,10.1,1339,1232,.920,38,37,.974,271,242,.893,2,2,15,6,.600,32.1,692,21,427,41,393,75,0.917,.0849,2.40,.002,9,4,3,,,
,1989-09-16,Watson,SK,CAN,CAN,72,205,L,Y,2008,5,122,26,Dustin,Tokarski,MTL,MTL,6,4,1,3,0,98,86,3.18,.878,0,0,0,13570,0,10,71,190,1,2,2,.877,3.16,25.0%,2,2,15,36,3.33,.882,1.126,44,0.133,3.8,-2.6,0.1,0.0,-2.5,-2.5,0.1,81,72,.889,1,1,1.000,16,13,.813,,,,,,36.5,8,1,4,0,3,4,0.789,.0871,1.75,-.035,0,0,0,,,
60,1991-04-29,Nuremberg,,DEU,,74,185,,Y,,,,24,Niklas,Treutle,ARI,ARI,2,1,0,1,0,20,15,6.04,.750,0,0,2,2982,0,5,11,40,0,1,1,.688,7.50,0.0%,1,0,4,10,0.00,1.000,0.925,18,0.09,0.8,-2.6,0.0,0.0,-2.6,-2.7,-0.3,12,10,.833,2,2,1.000,6,3,.500,,,,,,40.4,43,2,29,2,14,8,0.859,.0826,1.00,-.167,0,0,0,,,
35,1993-07-31,Lugnvik,,SWE,SWE,76,212,L,Y,2012,6,163,22,Linus,Ullmark,BUF,BUF,20,20,8,10,2,565,516,2.60,.913,0,0,0,67840,0,49,516,1131,13,4,2,.913,2.60,65.0%,0,0,0,0,0.00,.000,0.925,84,0.418,18.9,1.1,0.0,0.0,1.1,0.7,3.2,503,464,.922,10,7,.700,52,45,.865,0,2,6,2,.667,33.9,256,5,151,10,109,34,0.906,.0856,2.10,-.001,0,1,4,,,
1,1988-04-27,Samara,,RUS,RUS,74,209,L,,2006,1,23,27,Semyon,Varlamov,COL,COL,57,57,27,25,3,1714,1566,2.81,.914,0,0,6,189565,2,148,1566,3161,25,10,7,.914,2.81,43.9%,0,0,0,0,0.00,.000,5.9,186,5.9,52.7,5.2,-1.4,1.5,5.3,-6.1,9.9,1424,1314,.923,49,45,.918,241,207,.859,3,0,10,1,.900,30.9,678,27,453,32,435,89,0.916,.0850,2.63,-.001,14,6,2,6,Groin,432
88,1994-07-25,Tyumen,,RUS,RUS,75,207,L,Y,2012,1,19,21,Andrei,Vasilevskiy,TBL,TBL,24,21,11,10,0,646,588,2.76,.910,0,0,0,75518,1,57,564,1218,9,3,2,.908,2.81,42.9%,3,1,24,41,1.46,.960,2.109,165,1.214,21,0.2,-0.2,1.1,1.0,-0.5,3.5,509,469,.921,18,16,.889,119,103,.866,2,0,8,1,.875,38.1,282,14,157,19,149,25,0.908,.0823,2.62,-.007,3,1,2,12,Blood clots,309
30,1984-02-29,Saskatoon,SK,CAN,CAN,73,185,L,,2002,1,25,31,Cam,Ward,CAR,CAR,52,51,23,17,10,1343,1221,2.41,.909,0,0,0,182284,1,122,1214,3011,25,7,3,.909,2.43,49.0%,1,0,7,27,0.00,1.000,6.3,186,6.3,50.6,-1.9,1.6,0.7,0.4,-11.8,7.0,1155,1058,.916,29,26,.897,159,137,.862,2,5,28,8,.714,35.4,583,27,339,26,299,69,0.907,.0848,2.47,-.006,7,3,4,5,"Lower body, Concussion",384
31,1992-08-14,Etobicoke,ON,CAN,CAN,74,195,L,Y,2010,3,84,23,Scott,Wedgewood,NJD,NJD,4,4,2,1,1,116,111,1.25,.957,0,0,0,14445,1,5,111,241,3,0,0,.957,1.24,75.0%,0,0,0,0,0.00,.000,0.588,10,0.032,4,4.7,0.0,0.0,4.7,4.7,1.3,96,92,.958,2,2,1.000,18,17,.944,,,,,,28.6,55,1,27,2,29,2,0.954,.0853,1.75,.042,1,2,0,,,
35,1992-05-22,Plzen,,CZE,CZE,73,195,L,Y,,,,23,Roman,Will,COL,COL,1,0,0,0,0,3,2,3.25,.667,0,0,0,1108,0,,,,,,,.000,0.00,0.0%,1,1,2,18,3.33,.667,0.568,4,0.012,0.3,-0.6,0.1,0.0,-0.5,-0.5,-0.1,2,2,1.000,0,0,,1,0,.000,,,,,,123.4,1,0,0,1,1,0,0.718,.0886,,-.245,0,0,0,,,
37,1987-06-09,Detroit,MI,USA,USA,74,179,L,,2006,3,74,28,Jeff,Zatkoff,PIT,PIT,14,11,4,7,1,408,374,2.79,.917,0,0,0,43923,0,31,336,659,7,3,0,.916,2.82,63.6%,3,3,38,73,2.47,.927,0.6,186,0.6,12.2,2.2,-0.5,-0.9,0.8,0.7,2.5,330,302,.915,9,7,.778,69,65,.942,0,1,2,2,.000,36.3,212,4,86,3,76,27,0.908,.0840,2.00,.001,1,0,2,,,
